test,time
control,27.217000000000002
control,20.372
control,11.635
control,16.964999999999996
control,26.997999999999998
control,33.4
control,24.23
control,17.218
control,18.953
control,20.896
control,30.95
control,29.421
stroop,32.723000000000006
stroop,NA
stroop,30.971999999999998
stroop,23.805
stroop,20.981999999999996
stroop,34.88699999999999
stroop,8.8
stroop,34.797000000000004
stroop,22
stroop,27
stroop,38
stroop,24.633000000000003
control,36.36
control,25.919999999999998
control,30.455
control,19.153000000000002
control,32
control,25.29
control,17.841
control,18.859
control,NA
control,9.9
control,19.93
control,21
stroop,37
stroop,37
stroop,22.596
stroop,14.76
stroop,39.839
stroop,28.161
stroop,35
stroop,26.291
stroop,30.224999999999998
stroop,28.59
stroop,23.377000000000002
stroop,33.827
stroop,36.376
control,26.319000000000003
stroop,45
